date,district,MAM_admissions,SAM_admissions
2020-02-01,Balcad,791.0,543.0
2020-03-01,Balcad,1193.0,201.0
2020-04-01,Balcad,534.0,281.0
2020-05-01,Balcad,810.0,230.0
2020-06-01,Balcad,436.0,188.0
2020-07-01,Balcad,68.0,259.0
2020-08-01,Balcad,911.0,327.0
2020-09-01,Balcad,1013.0,427.0
2020-10-01,Balcad,408.0,88.0
2020-11-01,Balcad,443.0,93.0
2020-12-01,Balcad,1327.0,148.0
2021-01-01,Balcad,502.0,149.0
2021-02-01,Balcad,289.0,127.0
2021-03-01,Balcad,1021.0,94.0
2021-04-01,Balcad,942.0,77.0
2021-05-01,Balcad,680.0,89.0
2021-06-01,Balcad,298.0,58.0
2021-07-01,Balcad,696.0,34.0
2021-08-01,Balcad,504.0,25.0
2021-09-01,Balcad,444.0,225.0
2021-10-01,Balcad,211.0,246.0
2021-11-01,Balcad,381.0,252.0
2019-01-01,Banadir,7012.0,5496.0
2019-02-01,Banadir,12964.0,4871.0
2019-03-01,Banadir,19480.0,5270.0
2019-04-01,Banadir,16371.0,4855.0
2019-05-01,Banadir,7015.0,5448.0
2019-06-01,Banadir,8704.0,5739.0
2019-07-01,Banadir,7061.0,7377.0
2019-08-01,Banadir,7952.0,5514.0
2019-09-01,Banadir,9124.0,5251.0
2019-10-01,Banadir,8854.0,5025.0
2019-11-01,Banadir,8803.0,5753.0
2019-12-01,Banadir,10881.0,5825.0
2020-01-01,Banadir,9917.0,5810.0
2020-02-01,Banadir,10954.0,5256.0
2020-03-01,Banadir,10208.0,4979.0
2020-04-01,Banadir,9730.0,5334.0
2020-05-01,Banadir,4130.0,5257.0
2020-06-01,Banadir,5126.0,5830.0
2020-07-01,Banadir,9406.0,6193.0
2020-08-01,Banadir,11138.0,4207.0
2020-09-01,Banadir,12231.0,5743.0
2020-10-01,Banadir,10441.0,4452.0
2020-11-01,Banadir,8919.0,5388.0
2020-12-01,Banadir,6385.0,4598.0
2021-01-01,Banadir,5175.0,3850.0
2021-02-01,Banadir,6133.0,3918.0
2021-03-01,Banadir,9589.0,4303.0
2021-04-01,Banadir,7095.0,3166.0
2021-05-01,Banadir,11335.0,5406.0
2021-06-01,Banadir,11478.0,5368.0
2021-07-01,Banadir,10938.0,3696.0
2021-08-01,Banadir,11471.0,3781.0
2021-09-01,Banadir,8688.0,3089.0
2021-10-01,Banadir,6592.0,4450.0
2021-11-01,Banadir,13840.0,5040.0
2019-01-01,Bandarbeyla,0.0,28.0
2019-02-01,Bandarbeyla,0.0,20.0
2019-03-01,Bandarbeyla,0.0,21.0
2019-04-01,Bandarbeyla,389.0,36.0
2019-05-01,Bandarbeyla,0.0,49.0
2019-06-01,Bandarbeyla,,
2019-07-01,Bandarbeyla,,
2019-08-01,Bandarbeyla,,
2019-09-01,Bandarbeyla,,
2019-10-01,Bandarbeyla,,
2019-11-01,Bandarbeyla,,
2019-12-01,Bandarbeyla,351.0,0.0
2020-01-01,Bandarbeyla,0.0,18.0
2020-02-01,Bandarbeyla,958.0,23.0
2020-03-01,Bandarbeyla,0.0,17.0
2020-04-01,Bandarbeyla,346.0,16.0
2020-05-01,Bandarbeyla,0.0,34.0
2020-06-01,Bandarbeyla,246.0,25.0
2020-07-01,Bandarbeyla,0.0,29.0
2020-08-01,Bandarbeyla,0.0,35.0
2020-09-01,Bandarbeyla,0.0,45.0
2020-10-01,Bandarbeyla,0.0,28.0
2020-11-01,Bandarbeyla,0.0,37.0
2020-12-01,Bandarbeyla,0.0,31.0
2021-01-01,Bandarbeyla,550.0,24.0
2021-02-01,Bandarbeyla,550.0,23.0
2021-03-01,Bandarbeyla,699.0,28.0
2021-04-01,Bandarbeyla,1082.0,37.0
2021-05-01,Bandarbeyla,640.0,27.0
2021-06-01,Bandarbeyla,1233.0,14.0
2021-07-01,Bandarbeyla,0.0,8.0
2021-08-01,Bandarbeyla,0.0,12.0
2021-09-01,Bandarbeyla,0.0,5.0
2021-10-01,Bandarbeyla,0.0,8.0
2021-11-01,Bandarbeyla,0.0,8.0
2019-01-01,Badhaadhe,29.0,20.0
2019-02-01,Badhaadhe,57.0,38.0
2019-03-01,Badhaadhe,58.0,42.0
2019-04-01,Badhaadhe,49.0,33.0
2019-05-01,Badhaadhe,32.0,24.0
2019-06-01,Badhaadhe,54.0,32.0
2019-07-01,Badhaadhe,94.0,42.0
2019-08-01,Badhaadhe,51.0,17.0
2019-09-01,Badhaadhe,21.0,5.0
2019-10-01,Badhaadhe,22.0,5.0
2019-11-01,Badhaadhe,22.0,26.0
2019-12-01,Badhaadhe,23.0,6.0
2020-01-01,Badhaadhe,17.0,7.0
2020-02-01,Badhaadhe,32.0,6.0
2020-03-01,Badhaadhe,23.0,7.0
2020-04-01,Badhaadhe,,
2020-05-01,Badhaadhe,0.0,7.0
2020-06-01,Badhaadhe,0.0,10.0
2020-07-01,Badhaadhe,,
2020-08-01,Badhaadhe,771.0,391.0
2020-09-01,Badhaadhe,1453.0,303.0
2020-10-01,Badhaadhe,1291.0,401.0
2020-11-01,Badhaadhe,345.0,282.0
2020-12-01,Badhaadhe,869.0,454.0
2021-01-01,Badhaadhe,748.0,460.0
2021-02-01,Badhaadhe,914.0,390.0
2021-03-01,Badhaadhe,1476.0,695.0
2021-04-01,Badhaadhe,1077.0,595.0
2021-05-01,Badhaadhe,125.0,47.0
2021-06-01,Badhaadhe,115.0,55.0
2021-07-01,Badhaadhe,139.0,58.0
2021-08-01,Badhaadhe,122.0,70.0
2021-09-01,Badhaadhe,195.0,67.0
2021-10-01,Badhaadhe,954.0,484.0
2021-11-01,Badhaadhe,149.0,346.0
2019-01-01,Belet Weyne,2459.0,913.0
2019-02-01,Belet Weyne,3009.0,939.0
2019-03-01,Belet Weyne,1333.0,963.0
2019-04-01,Belet Weyne,1132.0,582.0
